Model,Source_File,Train_Time_s,Inference_Time_s,Best_Val_Accuracy,Test_Accuracy,Avg_GPU_Util_%,Max_GPU_Mem_Util_%,Avg_GPU_Temp_C,Avg_Power_Draw_W,Avg_CPU_Util_%,Avg_Memory_CPU_%
CNN,report_02_power_CNN_1_lay.csv,494.77,9.8,0.9025,0.9212,37.37,27.0,49.06,73.03,33.29,9.36
LSTM,report_02_power_LSTM_1_lay.csv,1810.31,12.33,0.9581,0.96,67.89,26.0,71.71,134.17,21.92,9.4
GRU,report_02_power_GRU_1_lay.csv,1668.27,10.92,0.9559,0.9668,64.73,23.0,72.19,123.96,27.16,14.52
DNN,report_02_power_DNN_1_lay.csv,357.29,8.2,0.9224,0.9325,8.39,0.0,40.12,35.79,43.92,12.9
CNN-LSTM,report_02_power_CNN-LSTM_1_lay.csv,1026.03,11.44,0.9529,0.9645,52.15,14.0,54.63,84.98,39.38,15.59
CNN-GRU,report_02_power_CNN-GRU_1_lay.csv,971.19,11.27,0.9549,0.965,50.3,12.0,54.1,81.25,38.72,20.26
CNN-DNN,report_02_power_CNN-DNN_1_lay.csv,453.19,8.78,0.9416,0.9496,28.76,6.0,43.44,46.3,40.92,18.19
CNN,report_02_power_CNN_2_lay.csv,601.17,8.69,0.923,0.9321,44.26,20.0,53.22,76.35,30.47,10.76
LSTM,report_02_power_LSTM_2_lay.csv,2103.3,15.82,0.9576,0.9681,63.5,20.0,72.6,118.94,25.48,10.85
GRU,report_02_power_GRU_2_lay.csv,2085.58,14.92,0.9543,0.9648,63.58,17.0,68.47,104.16,27.2,15.25
DNN,report_02_power_DNN_2_lay.csv,372.18,8.37,0.9253,0.9311,9.98,0.0,38.86,35.63,43.5,13.35
CNN-LSTM,report_02_power_CNN-LSTM_2_lay.csv,1168.72,13.18,0.9541,0.96,51.86,11.0,53.71,78.04,39.21,16.02
CNN-GRU,report_02_power_CNN-GRU_2_lay.csv,1139.25,13.08,0.9554,0.9654,50.94,10.0,52.72,73.22,37.73,20.64
CNN-DNN,report_02_power_CNN-DNN_2_lay.csv,465.7,9.02,0.9437,0.9528,29.61,6.0,41.98,44.07,40.59,18.36
CNN,report_02_power_CNN_3_lay.csv,553.17,9.09,0.9385,0.9462,38.68,13.0,49.82,64.66,33.32,11.34
LSTM,report_02_power_LSTM_3_lay.csv,2314.45,18.47,0.9545,0.9629,63.27,15.0,68.7,104.25,28.11,11.82
GRU,report_02_power_GRU_3_lay.csv,2485.61,17.4,0.9548,0.9608,64.89,13.0,61.96,88.6,26.35,15.65
DNN,report_02_power_DNN_3_lay.csv,390.44,8.63,0.9123,0.9214,11.52,0.0,38.99,36.07,43.32,13.98
CNN-LSTM,report_02_power_CNN-LSTM_3_lay.csv,1304.46,14.73,0.9518,0.9573,51.79,8.0,51.47,71.58,39.12,16.58
CNN-GRU,report_02_power_CNN-GRU_3_lay.csv,1287.42,14.11,0.9536,0.9595,53.02,7.0,50.83,68.09,38.29,21.03
CNN-DNN,report_02_power_CNN-DNN_3_lay.csv,486.85,9.13,0.9435,0.9484,29.84,6.0,41.79,42.98,40.51,18.84
CNN,report_02_power_CNN_4_lay.csv,542.25,9.41,0.9428,0.9503,35.92,6.0,45.75,53.84,35.57,12.0
LSTM,report_02_power_LSTM_4_lay.csv,2730.34,20.99,0.9509,0.9574,63.03,13.0,64.91,94.78,28.69,12.64
GRU,report_02_power_GRU_4_lay.csv,2966.13,19.81,0.9522,0.9584,66.75,11.0,59.1,80.06,25.86,16.42
DNN,report_02_power_DNN_4_lay.csv,404.31,8.76,0.8887,0.8963,12.9,4.0,38.92,35.52,43.08,14.49
CNN-LSTM,report_02_power_CNN-LSTM_4_lay.csv,1492.48,16.46,0.9467,0.9556,51.85,7.0,49.75,66.98,38.59,17.12
CNN-GRU,report_02_power_CNN-GRU_4_lay.csv,1467.16,15.3,0.9494,0.9596,53.57,6.0,49.67,64.48,38.43,21.45
CNN-DNN,report_02_power_CNN-DNN_4_lay.csv,501.18,9.29,0.9382,0.9449,31.07,5.0,41.65,42.62,40.44,19.32
CNN,report_02_power_CNN_5_lay.csv,555.25,9.44,0.9434,0.9506,36.41,8.0,45.34,54.78,35.86,12.47
LSTM,report_02_power_LSTM_5_lay.csv,2996.91,24.17,0.9497,0.955,62.57,11.0,61.61,84.88,28.73,13.68
GRU,report_02_power_GRU_5_lay.csv,3371.69,22.86,0.9498,0.9537,67.56,9.0,57.56,73.87,25.75,17.24
DNN,report_02_power_DNN_5_lay.csv,415.98,9.07,0.8446,0.8399,13.65,0.0,38.39,35.35,43.56,15.03
CNN-LSTM,report_02_power_CNN-LSTM_5_lay.csv,1641.33,18.36,0.9447,0.9485,52.36,5.0,49.0,64.29,38.45,17.72
CNN-GRU,report_02_power_CNN-GRU_5_lay.csv,1658.91,16.36,0.9462,0.9534,54.17,5.0,48.79,61.88,37.42,21.97
CNN-DNN,report_02_power_CNN-DNN_5_lay.csv,523.1,9.69,0.9361,0.9409,31.2,5.0,41.28,42.18,38.67,19.95
